BOM,browser object model
BOM object to represent browser viewport,window
BOM object with attributes for global variables and functions,window
DOM,document object model
DOM node for root of all other nodes,document
element method to add subelement,appendChild()
element property to control whether its content can be modified,contentEditable
operator to check for parent constructor.prototype,instanceof
operator to create object instance,new
property for number of chars in string or elements in array,length
property to get or set content of element,innerHTML
static method to make new element node,document.createElement()
static method to write into HTML output stream,document.write()
static method to write into modal dialog box,window.alert()
static method to write message in browser record,console.log()
static property to control whether entire document is editable,document.designMode
string method to exchange substring for new substring,replace()
value of negative boolean,false
value of positive boolean,true
